Nome real da conta,Conta,Seguidores,Seguindo,Postagens
Ocupapolitica,https://www.instagram.com/ocupa_politica/,508,864,114
Movimento Agora!,https://www.instagram.com/agoramovimento/,7050,72,284
MUITAS,https://www.instagram.com/as_muitas/,1438,48,92
Bancada Ativista,https://www.instagram.com/bancadaativista/,3689,2701,136
RenovaBR,https://www.instagram.com/renovabr/,24963,5546,150
Mídia NINJA,https://www.instagram.com/midianinja/,260856,482,9505
342 Artes,https://www.instagram.com/342artes/,2673,3,105
MST Oficial,https://www.instagram.com/movimentosemterra/,27874,40,426
MLB Brasil,https://www.instagram.com/movimentolutanosbairros/,1008,89,32
União Nacional dos Estudantes,https://www.instagram.com/uneoficial/,35621,3061,1625
CUT Brasil,https://www.instagram.com/cutbrasil/,21503,427,864
Juntos!,https://www.instagram.com/coletivojuntos/,5415,2369,622
Movimento Correnteza,https://www.instagram.com/movimentocorrenteza/,882,539,72
União da Juventude Socialista,https://www.instagram.com/ujs_brasil/,9804,401,968
União da Juventude Rebelião,https://www.instagram.com/ujr_brasil/,998,4,90
Movimento Olga Benario Brasil,https://www.instagram.com/movimentoolga/,1100,377,421
UBES,https://www.instagram.com/ubesoficial/,11480,122,815
RUA Juventude Anticapitalista,https://www.instagram.com/rua_juventudeanticapitalista/,39448,877,325
Afronte! Juventude Sem Medo,https://www.instagram.com/afronte.nacional/,486,270,36
,https://www.instagram.com/contag/,46,0,15
Geledés,https://www.instagram.com/portalgeledes/,33041,211,313
Marcha Mundial das Mulheres,https://www.instagram.com/marchamulheres/,5186,298,389
Não Me Kahlo,https://www.instagram.com/naokahlo/,70186,92,473
Vem Pra Rua Brasil,https://www.instagram.com/vemprarua_br/,93966,590,4678
Revoltados On Line,https://www.instagram.com/revoltadoson/,22,1,0
Estudantes Pela Liberdade,https://www.instagram.com/estudantespelaliberdade/,2328,138,42
MBL - Movimento Brasil Livre,https://www.instagram.com/mblivre/,168469,1695,1979
Luta eterna pela corrupção,https://www.instagram.com/movimentocontraacorrupcao/,60,205,3
Luiz Inácio Lula da Silva,https://www.instagram.com/luizinacioluladasilvaoficial/,242872,1,251
Ciro Gomes,https://www.instagram.com/cirogomes/,110338,133,16
Geraldo Alckmin,https://www.instagram.com/geraldoalckmin_/,106570,34,3831
Jair Bolsonaro,https://www.instagram.com/jairmessiasbolsonaro/,1149182,351,1294
Michel Temer,https://www.instagram.com/micheltemer/,96796,104,622
Marina Silva,https://www.instagram.com/_marinasilva_/,94165,68,785
Levy Fidelix,https://www.instagram.com/levyfidelix28/,9635,65,169
Pastor Everaldo Pereira,https://www.instagram.com/pastoreveraldo/,15505,301,1725
robertoljustus,https://www.instagram.com/robertoljustus/,1095806,152,1054
Guilherme Boulos,https://www.instagram.com/guilhermeboulos.oficial/,74493,103,671
Jaques Wagner,https://www.instagram.com/jaqueswagner/,21845,162,598
Fernando Collor,https://www.instagram.com/fernando_collor/,13559,750,1416
Cristovam Buarque,https://www.instagram.com/buarquecristovam/,9808,723,83
