Nome real da conta,Conta,Seguidores,Seguindo,Postagens
Ocupapolitica,https://www.instagram.com/ocupa_politica/,508,864,114
Movimento Agora!,https://www.instagram.com/agoramovimento/,7065,72,286
MUITAS,https://www.instagram.com/as_muitas/,1439,48,94
Bancada Ativista,https://www.instagram.com/bancadaativista/,3693,2699,136
RenovaBR,https://www.instagram.com/renovabr/,25152,6511,150
Mídia NINJA,https://www.instagram.com/midianinja/,261602,482,9512
342 Artes,https://www.instagram.com/342artes/,2673,3,105
MST Oficial,https://www.instagram.com/movimentosemterra/,28104,40,428
MLB Brasil,https://www.instagram.com/movimentolutanosbairros/,1008,90,32
União Nacional dos Estudantes,https://www.instagram.com/uneoficial/,35736,3476,1625
CUT Brasil,https://www.instagram.com/cutbrasil/,21586,427,866
Juntos!,https://www.instagram.com/coletivojuntos/,5425,2370,625
Movimento Correnteza,https://www.instagram.com/movimentocorrenteza/,883,539,72
União da Juventude Socialista,https://www.instagram.com/ujs_brasil/,9837,403,970
União da Juventude Rebelião,https://www.instagram.com/ujr_brasil/,998,4,90
Movimento Olga Benario Brasil,https://www.instagram.com/movimentoolga/,1101,377,421
UBES,https://www.instagram.com/ubesoficial/,11483,122,815
RUA Juventude Anticapitalista,https://www.instagram.com/rua_juventudeanticapitalista/,39499,869,325
Afronte! Juventude Sem Medo,https://www.instagram.com/afronte.nacional/,487,272,38
,https://www.instagram.com/contag/,46,0,15
Geledés,https://www.instagram.com/portalgeledes/,33063,211,313
Marcha Mundial das Mulheres,https://www.instagram.com/marchamulheres/,5191,298,389
Não Me Kahlo,https://www.instagram.com/naokahlo/,70317,93,475
Vem Pra Rua Brasil,https://www.instagram.com/vemprarua_br/,94198,590,4683
Revoltados On Line,https://www.instagram.com/revoltadoson/,22,1,0
Estudantes Pela Liberdade,https://www.instagram.com/estudantespelaliberdade/,2331,138,42
MBL - Movimento Brasil Livre,https://www.instagram.com/mblivre/,168893,727,1984
Luta eterna pela corrupção,https://www.instagram.com/movimentocontraacorrupcao/,60,205,3
Luiz Inácio Lula da Silva,https://www.instagram.com/luizinacioluladasilvaoficial/,244881,1,251
Ciro Gomes,https://www.instagram.com/cirogomes/,110660,133,16
Geraldo Alckmin,https://www.instagram.com/geraldoalckmin_/,106621,34,3833
Jair Bolsonaro,https://www.instagram.com/jairmessiasbolsonaro/,1153234,351,1296
Michel Temer,https://www.instagram.com/micheltemer/,97635,104,622
Marina Silva,https://www.instagram.com/_marinasilva_/,94185,68,785
Levy Fidelix,https://www.instagram.com/levyfidelix28/,9641,65,169
Pastor Everaldo Pereira,https://www.instagram.com/pastoreveraldo/,15461,300,1725
robertoljustus,https://www.instagram.com/robertoljustus/,1096288,152,1054
Guilherme Boulos,https://www.instagram.com/guilhermeboulos.oficial/,75771,104,680
Jaques Wagner,https://www.instagram.com/jaqueswagner/,21868,162,598
Fernando Collor,https://www.instagram.com/fernando_collor/,13570,750,1418
Cristovam Buarque,https://www.instagram.com/buarquecristovam/,9812,723,83
