username;Data;stories
ocupa_politica;30/5/2018-23:30;0
agoramovimento;30/5/2018-23:30;1
as_muitas;30/5/2018-23:30;0
bancadaativista;30/5/2018-23:30;0
renovabr;30/5/2018-23:30;1
midianinja;30/5/2018-23:30;5
342artes;30/5/2018-23:30;0
movimentosemterra;30/5/2018-23:30;6
movimentolutanosbairros;30/5/2018-23:30;0
uneoficial;30/5/2018-23:30;8
cutbrasil;30/5/2018-23:30;0
coletivojuntos;30/5/2018-23:30;5
movimentocorrenteza;30/5/2018-23:30;0
ujs_brasil;30/5/2018-23:30;14
ujr_brasil;30/5/2018-23:30;1
movimentoolga;30/5/2018-23:30;0
ubesoficial;30/5/2018-23:30;4
ujcbrasil;30/5/2018-23:30;0
rua_juventudeanticapitalista;30/5/2018-23:30;4
afronte.nacional;30/5/2018-23:30;3
contag;30/5/2018-23:30;0
portalgeledes;30/5/2018-23:30;0
marchamulheres;30/5/2018-23:30;0
naokahlo;30/5/2018-23:30;12
vemprarua_br;30/5/2018-23:30;0
revoltadoson;30/5/2018-23:30;0
estudantespelaliberdade;30/5/2018-23:30;0
mblivre;30/5/2018-23:30;6
movimentocontraacorrupcao;30/5/2018-23:30;0
nasruasbrasil;30/5/2018-23:30;0
luizinacioluladasilvaoficial;30/5/2018-23:30;0
fernandohaddadoficial;30/5/2018-23:30;0
cirogomes;30/5/2018-23:30;0
jdoriajr;30/5/2018-23:30;1
geraldoalckmin_;30/5/2018-23:30;0
jairmessiasbolsonaro;30/5/2018-23:30;1
micheltemer;30/5/2018-23:30;0
_marinasilva_;30/5/2018-23:30;0
levyfidelix28;30/5/2018-23:30;0
pastoreveraldo;30/5/2018-23:30;0
robertoljustus;30/5/2018-23:30;0
guilhermeboulos.oficial;30/5/2018-23:30;11
jaqueswagner;30/5/2018-23:31;0
fernando_collor;30/5/2018-23:31;0
buarquecristovam;30/5/2018-23:31;0
