username;Data;stories
ocupa_politica;4/6/2018-7:39;0
agoramovimento;4/6/2018-7:39;5
as_muitas;4/6/2018-7:39;0
bancadaativista;4/6/2018-7:39;0
renovabr;4/6/2018-7:40;0
midianinja;4/6/2018-7:40;6
342artes;4/6/2018-7:40;0
movimentosemterra;4/6/2018-7:40;0
movimentolutanosbairros;4/6/2018-7:40;2
uneoficial;4/6/2018-7:40;7
cutbrasil;4/6/2018-7:40;0
coletivojuntos;4/6/2018-7:40;1
movimentocorrenteza;4/6/2018-7:40;0
ujs_brasil;4/6/2018-7:40;7
ujr_brasil;4/6/2018-7:40;1
movimentoolga;4/6/2018-7:40;0
ubesoficial;4/6/2018-7:40;1
ujcbrasil;4/6/2018-7:40;0
rua_juventudeanticapitalista;4/6/2018-7:40;0
afronte.nacional;4/6/2018-7:40;7
contag;4/6/2018-7:40;0
portalgeledes;4/6/2018-7:40;0
marchamulheres;4/6/2018-7:40;2
naokahlo;4/6/2018-7:40;11
vemprarua_br;4/6/2018-7:40;0
revoltadoson;4/6/2018-7:40;0
estudantespelaliberdade;4/6/2018-7:40;0
mblivre;4/6/2018-7:40;1
movimentocontraacorrupcao;4/6/2018-7:40;0
nasruasbrasil;4/6/2018-7:40;0
luizinacioluladasilvaoficial;4/6/2018-7:40;0
fernandohaddadoficial;4/6/2018-7:40;0
cirogomes;4/6/2018-7:40;0
jdoriajr;4/6/2018-7:40;0
geraldoalckmin_;4/6/2018-7:40;1
jairmessiasbolsonaro;4/6/2018-7:40;3
micheltemer;4/6/2018-7:40;0
_marinasilva_;4/6/2018-7:40;0
levyfidelix28;4/6/2018-7:40;0
pastoreveraldo;4/6/2018-7:40;0
robertoljustus;4/6/2018-7:40;0
guilhermeboulos.oficial;4/6/2018-7:40;11
jaqueswagner;4/6/2018-7:40;0
fernando_collor;4/6/2018-7:40;0
buarquecristovam;4/6/2018-7:40;4
username;Data;stories
ocupa_politica;4/6/2018-23:38;0
agoramovimento;4/6/2018-23:38;0
as_muitas;4/6/2018-23:38;0
bancadaativista;4/6/2018-23:38;0
renovabr;4/6/2018-23:38;1
midianinja;4/6/2018-23:38;3
342artes;4/6/2018-23:38;0
movimentosemterra;4/6/2018-23:38;1
movimentolutanosbairros;4/6/2018-23:39;0
uneoficial;4/6/2018-23:39;1
cutbrasil;4/6/2018-23:39;0
coletivojuntos;4/6/2018-23:39;1
movimentocorrenteza;4/6/2018-23:39;0
ujs_brasil;4/6/2018-23:39;0
ujr_brasil;4/6/2018-23:39;0
movimentoolga;4/6/2018-23:39;0
ubesoficial;4/6/2018-23:39;1
ujcbrasil;4/6/2018-23:39;0
rua_juventudeanticapitalista;4/6/2018-23:39;8
afronte.nacional;4/6/2018-23:39;0
contag;4/6/2018-23:39;0
portalgeledes;4/6/2018-23:39;0
marchamulheres;4/6/2018-23:39;0
naokahlo;4/6/2018-23:39;0
vemprarua_br;4/6/2018-23:39;0
revoltadoson;4/6/2018-23:39;0
estudantespelaliberdade;4/6/2018-23:39;0
mblivre;4/6/2018-23:39;3
movimentocontraacorrupcao;4/6/2018-23:39;0
nasruasbrasil;4/6/2018-23:39;0
luizinacioluladasilvaoficial;4/6/2018-23:39;1
fernandohaddadoficial;4/6/2018-23:39;0
cirogomes;4/6/2018-23:39;0
jdoriajr;4/6/2018-23:39;0
geraldoalckmin_;4/6/2018-23:39;0
jairmessiasbolsonaro;4/6/2018-23:39;3
micheltemer;4/6/2018-23:39;0
_marinasilva_;4/6/2018-23:39;0
levyfidelix28;4/6/2018-23:39;0
pastoreveraldo;4/6/2018-23:39;0
robertoljustus;4/6/2018-23:39;0
guilhermeboulos.oficial;4/6/2018-23:39;14
jaqueswagner;4/6/2018-23:39;0
fernando_collor;4/6/2018-23:39;1
buarquecristovam;4/6/2018-23:39;0
