Nome real da conta,Conta,Seguidores,Seguindo,Postagens
Ocupapolitica,https://www.instagram.com/ocupa_politica/,504,864,114
Movimento Agora!,https://www.instagram.com/agoramovimento/,6988,71,277
MUITAS,https://www.instagram.com/as_muitas/,1439,47,85
Bancada Ativista,https://www.instagram.com/bancadaativista/,3646,2699,136
RenovaBR,https://www.instagram.com/renovabr/,24534,2144,147
Mídia NINJA,https://www.instagram.com/midianinja/,259741,481,9437
342 Artes,https://www.instagram.com/342artes/,2658,3,105
MST Oficial,https://www.instagram.com/movimentosemterra/,27344,40,421
MLB Brasil,https://www.instagram.com/movimentolutanosbairros/,1003,88,31
União Nacional dos Estudantes,https://www.instagram.com/uneoficial/,35517,4701,1620
CUT Brasil,https://www.instagram.com/cutbrasil/,21344,427,863
Juntos!,https://www.instagram.com/coletivojuntos/,5364,2368,615
Movimento Correnteza,https://www.instagram.com/movimentocorrenteza/,877,539,72
União da Juventude Socialista,https://www.instagram.com/ujs_brasil/,9502,404,961
União da Juventude Rebelião,https://www.instagram.com/ujr_brasil/,998,4,90
Movimento Olga Benario Brasil,https://www.instagram.com/movimentoolga/,1088,377,419
UBES,https://www.instagram.com/ubesoficial/,11441,123,811
RUA Juventude Anticapitalista,https://www.instagram.com/rua_juventudeanticapitalista/,39296,302,324
Afronte! Juventude Sem Medo,https://www.instagram.com/afronte.nacional/,471,269,34
,https://www.instagram.com/contag/,45,0,15
Geledés,https://www.instagram.com/portalgeledes/,32931,210,311
Marcha Mundial das Mulheres,https://www.instagram.com/marchamulheres/,5163,298,388
Não Me Kahlo,https://www.instagram.com/naokahlo/,69612,92,473
Vem Pra Rua Brasil,https://www.instagram.com/vemprarua_br/,93689,590,4670
Revoltados On Line,https://www.instagram.com/revoltadoson/,21,1,0
Estudantes Pela Liberdade,https://www.instagram.com/estudantespelaliberdade/,2317,138,42
MBL - Movimento Brasil Livre,https://www.instagram.com/mblivre/,167076,2000,1964
Luta eterna pela corrupção,https://www.instagram.com/movimentocontraacorrupcao/,60,206,3
Luiz Inácio Lula da Silva,https://www.instagram.com/luizinacioluladasilvaoficial/,241623,1,249
Ciro Gomes,https://www.instagram.com/cirogomes/,109566,131,14
Geraldo Alckmin,https://www.instagram.com/geraldoalckmin_/,106418,34,3824
Jair Bolsonaro,https://www.instagram.com/jairmessiasbolsonaro/,1140916,346,1286
Michel Temer,https://www.instagram.com/micheltemer/,96450,104,621
Marina Silva,https://www.instagram.com/_marinasilva_/,94140,68,779
Levy Fidelix,https://www.instagram.com/levyfidelix28/,9640,61,169
Pastor Everaldo Pereira,https://www.instagram.com/pastoreveraldo/,15708,301,1723
robertoljustus,https://www.instagram.com/robertoljustus/,1093361,152,1052
Guilherme Boulos,https://www.instagram.com/guilhermeboulos.oficial/,72246,103,630
Jaques Wagner,https://www.instagram.com/jaqueswagner/,21677,162,598
Fernando Collor,https://www.instagram.com/fernando_collor/,13500,750,1409
Cristovam Buarque,https://www.instagram.com/buarquecristovam/,9816,723,83
