Nome real da conta,Conta,Seguidores,Seguindo,Postagens
Ocupapolitica,https://www.instagram.com/ocupa_politica/,515,864,114
Movimento Agora!,https://www.instagram.com/agoramovimento/,7152,72,288
MUITAS,https://www.instagram.com/as_muitas/,1448,48,99
Bancada Ativista,https://www.instagram.com/bancadaativista/,3734,2702,136
RenovaBR,https://www.instagram.com/renovabr/,25671,4805,151
Mídia NINJA,https://www.instagram.com/midianinja/,265240,485,9576
342 Artes,https://www.instagram.com/342artes/,2675,3,106
MST Oficial,https://www.instagram.com/movimentosemterra/,28838,40,430
MLB Brasil,https://www.instagram.com/movimentolutanosbairros/,1019,90,35
União Nacional dos Estudantes,https://www.instagram.com/uneoficial/,36050,4727,1626
CUT Brasil,https://www.instagram.com/cutbrasil/,21846,427,870
Juntos!,https://www.instagram.com/coletivojuntos/,5442,2371,630
Movimento Correnteza,https://www.instagram.com/movimentocorrenteza/,884,539,72
União da Juventude Socialista,https://www.instagram.com/ujs_brasil/,9891,404,980
União da Juventude Rebelião,https://www.instagram.com/ujr_brasil/,999,4,91
Movimento Olga Benario Brasil,https://www.instagram.com/movimentoolga/,1106,377,421
UBES,https://www.instagram.com/ubesoficial/,11500,122,818
RUA Juventude Anticapitalista,https://www.instagram.com/rua_juventudeanticapitalista/,39640,874,325
Afronte! Juventude Sem Medo,https://www.instagram.com/afronte.nacional/,500,272,38
,https://www.instagram.com/contag/,46,0,15
Geledés,https://www.instagram.com/portalgeledes/,33127,211,314
Marcha Mundial das Mulheres,https://www.instagram.com/marchamulheres/,5223,298,390
Não Me Kahlo,https://www.instagram.com/naokahlo/,70730,93,475
Vem Pra Rua Brasil,https://www.instagram.com/vemprarua_br/,96266,590,4686
Revoltados On Line,https://www.instagram.com/revoltadoson/,22,1,0
Estudantes Pela Liberdade,https://www.instagram.com/estudantespelaliberdade/,2330,138,42
MBL - Movimento Brasil Livre,https://www.instagram.com/mblivre/,171241,1212,1993
Luta eterna pela corrupção,https://www.instagram.com/movimentocontraacorrupcao/,60,205,3
Luiz Inácio Lula da Silva,https://www.instagram.com/luizinacioluladasilvaoficial/,251338,1,252
Ciro Gomes,https://www.instagram.com/cirogomes/,112149,133,21
Geraldo Alckmin,https://www.instagram.com/geraldoalckmin_/,107018,34,3836
Jair Bolsonaro,https://www.instagram.com/jairmessiasbolsonaro/,1167528,351,1304
Michel Temer,https://www.instagram.com/micheltemer/,102569,104,622
Marina Silva,https://www.instagram.com/_marinasilva_/,94317,68,785
Levy Fidelix,https://www.instagram.com/levyfidelix28/,9637,66,169
Pastor Everaldo Pereira,https://www.instagram.com/pastoreveraldo/,15333,301,1727
robertoljustus,https://www.instagram.com/robertoljustus/,1098145,152,1056
Guilherme Boulos,https://www.instagram.com/guilhermeboulos.oficial/,78659,105,695
Jaques Wagner,https://www.instagram.com/jaqueswagner/,22003,162,600
Fernando Collor,https://www.instagram.com/fernando_collor/,13663,753,1420
Cristovam Buarque,https://www.instagram.com/buarquecristovam/,9813,723,83
