Nome real da conta,Conta,Seguidores,Seguindo,Postagens
Ocupapolitica,https://www.instagram.com/ocupa_politica/,522,865,114
Movimento Agora!,https://www.instagram.com/agoramovimento/,7489,73,316
MUITAS,https://www.instagram.com/as_muitas/,1749,540,130
Bancada Ativista,https://www.instagram.com/bancadaativista/,3860,2706,139
RenovaBR,https://www.instagram.com/renovabr/,26869,5082,159
Mídia NINJA,https://www.instagram.com/midianinja/,273573,490,9839
342 Artes,https://www.instagram.com/342artes/,2702,3,107
MST Oficial,https://www.instagram.com/movimentosemterra/,31674,40,453
União Nacional dos Estudantes,https://www.instagram.com/uneoficial/,36768,3146,1664
CUT Brasil,https://www.instagram.com/cutbrasil/,22924,428,886
Juntos!,https://www.instagram.com/coletivojuntos/,5528,2374,651
Movimento Correnteza,https://www.instagram.com/movimentocorrenteza/,893,540,73
União da Juventude Socialista,https://www.instagram.com/ujs_brasil/,10533,464,1039
União da Juventude Rebelião,https://www.instagram.com/ujr_brasil/,1004,4,92
Movimento Olga Benario Brasil,https://www.instagram.com/movimentoolga/,1135,382,425
UBES,https://www.instagram.com/ubesoficial/,11741,127,846
RUA Juventude Anticapitalista,https://www.instagram.com/rua_juventudeanticapitalista/,40435,841,331
Afronte! Juventude Sem Medo,https://www.instagram.com/afronte.nacional/,696,303,56
;/s;/s;/s;/s
Geledés,https://www.instagram.com/portalgeledes/,33607,211,314
Marcha Mundial das Mulheres,https://www.instagram.com/marchamulheres/,5347,297,397
Não Me Kahlo,https://www.instagram.com/naokahlo/,72732,97,493
Vem Pra Rua Brasil,https://www.instagram.com/vemprarua_br/,97340,591,4732
Revoltados On Line,https://www.instagram.com/revoltadoson/,23,1,0
Estudantes Pela Liberdade,https://www.instagram.com/estudantespelaliberdade/,2330,139,42
MBL - Movimento Brasil Livre,https://www.instagram.com/mblivre/,176658,1609,2048
Luta eterna pela corrupção,https://www.instagram.com/movimentocontraacorrupcao/,60,205,3
Luiz Inácio Lula da Silva,https://www.instagram.com/luizinacioluladasilvaoficial/,262374,1,268
Ciro Gomes,https://www.instagram.com/cirogomes/,122313,138,38
Geraldo Alckmin,https://www.instagram.com/geraldoalckmin_/,107848,34,3873
Jair Bolsonaro,https://www.instagram.com/jairmessiasbolsonaro/,1204582,357,1343
Michel Temer,https://www.instagram.com/micheltemer/,106310,104,626
Marina Silva,https://www.instagram.com/_marinasilva_/,95448,71,802
Levy Fidelix,https://www.instagram.com/levyfidelix28/,9614,79,169
Pastor Everaldo Pereira,https://www.instagram.com/pastoreveraldo/,15057,302,1744
robertoljustus,https://www.instagram.com/robertoljustus/,1106494,152,1066
Guilherme Boulos,https://www.instagram.com/guilhermeboulos.oficial/,87584,117,819
Jaques Wagner,https://www.instagram.com/jaqueswagner/,22476,160,606
Fernando Collor,https://www.instagram.com/fernando_collor/,13933,755,1426
Cristovam Buarque,https://www.instagram.com/buarquecristovam/,9864,722,88
