username;Data;stories
ocupa_politica;4/6/2018-23:51;0
agoramovimento;4/6/2018-23:51;0
as_muitas;4/6/2018-23:51;0
bancadaativista;4/6/2018-23:51;0
renovabr;4/6/2018-23:51;1
midianinja;4/6/2018-23:51;3
342artes;4/6/2018-23:51;0
movimentosemterra;4/6/2018-23:51;1
movimentolutanosbairros;4/6/2018-23:51;0
uneoficial;4/6/2018-23:51;1
cutbrasil;4/6/2018-23:51;0
coletivojuntos;4/6/2018-23:51;1
movimentocorrenteza;4/6/2018-23:51;0
ujs_brasil;4/6/2018-23:51;0
ujr_brasil;4/6/2018-23:51;0
movimentoolga;4/6/2018-23:51;0
ubesoficial;4/6/2018-23:52;1
ujcbrasil;4/6/2018-23:52;0
rua_juventudeanticapitalista;4/6/2018-23:52;8
afronte.nacional;4/6/2018-23:52;0
contag;4/6/2018-23:52;0
portalgeledes;4/6/2018-23:52;0
marchamulheres;4/6/2018-23:52;0
naokahlo;4/6/2018-23:52;0
vemprarua_br;4/6/2018-23:52;0
revoltadoson;4/6/2018-23:52;0
estudantespelaliberdade;4/6/2018-23:52;0
mblivre;4/6/2018-23:52;3
movimentocontraacorrupcao;4/6/2018-23:52;0
nasruasbrasil;4/6/2018-23:52;0
luizinacioluladasilvaoficial;4/6/2018-23:52;1
fernandohaddadoficial;4/6/2018-23:52;0
cirogomes;4/6/2018-23:52;0
jdoriajr;4/6/2018-23:52;0
geraldoalckmin_;4/6/2018-23:52;0
jairmessiasbolsonaro;4/6/2018-23:52;3
micheltemer;4/6/2018-23:52;0
_marinasilva_;4/6/2018-23:52;0
levyfidelix28;4/6/2018-23:52;0
pastoreveraldo;4/6/2018-23:52;0
robertoljustus;4/6/2018-23:52;0
guilhermeboulos.oficial;4/6/2018-23:52;14
jaqueswagner;4/6/2018-23:52;0
fernando_collor;4/6/2018-23:52;1
buarquecristovam;4/6/2018-23:52;0
