Nome real da conta,Conta,Seguidores,Seguindo,Postagens
Ocupapolitica,https://www.instagram.com/ocupa_politica/,517,864,114
Movimento Agora!,https://www.instagram.com/agoramovimento/,7224,72,293
MUITAS,https://www.instagram.com/as_muitas/,1465,26,106
Bancada Ativista,https://www.instagram.com/bancadaativista/,3770,2701,136
RenovaBR,https://www.instagram.com/renovabr/,25829,2097,152
Mídia NINJA,https://www.instagram.com/midianinja/,267564,485,9639
342 Artes,https://www.instagram.com/342artes/,2669,3,106
MST Oficial,https://www.instagram.com/movimentosemterra/,29421,40,435
MLB Brasil,https://www.instagram.com/movimentolutanosbairros/,1022,91,36
União Nacional dos Estudantes,https://www.instagram.com/uneoficial/,36300,5727,1631
CUT Brasil,https://www.instagram.com/cutbrasil/,22154,428,882
Juntos!,https://www.instagram.com/coletivojuntos/,5474,2371,636
Movimento Correnteza,https://www.instagram.com/movimentocorrenteza/,886,540,73
União da Juventude Socialista,https://www.instagram.com/ujs_brasil/,9947,407,995
União da Juventude Rebelião,https://www.instagram.com/ujr_brasil/,1003,4,91
Movimento Olga Benario Brasil,https://www.instagram.com/movimentoolga/,1113,380,422
UBES,https://www.instagram.com/ubesoficial/,11529,122,824
RUA Juventude Anticapitalista,https://www.instagram.com/rua_juventudeanticapitalista/,39864,860,326
Afronte! Juventude Sem Medo,https://www.instagram.com/afronte.nacional/,507,275,38
,https://www.instagram.com/contag/,46,0,15
Geledés,https://www.instagram.com/portalgeledes/,33226,211,314
Marcha Mundial das Mulheres,https://www.instagram.com/marchamulheres/,5248,297,391
Não Me Kahlo,https://www.instagram.com/naokahlo/,71148,93,479
Vem Pra Rua Brasil,https://www.instagram.com/vemprarua_br/,97112,591,4701
Revoltados On Line,https://www.instagram.com/revoltadoson/,22,1,0
Estudantes Pela Liberdade,https://www.instagram.com/estudantespelaliberdade/,2330,138,42
MBL - Movimento Brasil Livre,https://www.instagram.com/mblivre/,173480,1693,2007
Luta eterna pela corrupção,https://www.instagram.com/movimentocontraacorrupcao/,60,205,3
Luiz Inácio Lula da Silva,https://www.instagram.com/luizinacioluladasilvaoficial/,254604,1,255
Ciro Gomes,https://www.instagram.com/cirogomes/,116824,135,22
Geraldo Alckmin,https://www.instagram.com/geraldoalckmin_/,107214,34,3841
Jair Bolsonaro,https://www.instagram.com/jairmessiasbolsonaro/,1178296,350,1310
Michel Temer,https://www.instagram.com/micheltemer/,105665,104,623
Marina Silva,https://www.instagram.com/_marinasilva_/,94472,68,785
Levy Fidelix,https://www.instagram.com/levyfidelix28/,9629,66,169
Pastor Everaldo Pereira,https://www.instagram.com/pastoreveraldo/,15230,301,1732
robertoljustus,https://www.instagram.com/robertoljustus/,1099571,152,1058
Guilherme Boulos,https://www.instagram.com/guilhermeboulos.oficial/,81037,107,718
Jaques Wagner,https://www.instagram.com/jaqueswagner/,22124,162,600
Fernando Collor,https://www.instagram.com/fernando_collor/,13718,753,1420
Cristovam Buarque,https://www.instagram.com/buarquecristovam/,9824,722,83
