Nome real da conta,Conta,Seguidores,Seguindo,Postagens
Ocupapolitica,https://www.instagram.com/ocupa_politica/,505,864,114
Movimento Agora!,https://www.instagram.com/agoramovimento/,7027,72,279
MUITAS,https://www.instagram.com/as_muitas/,1439,48,89
Bancada Ativista,https://www.instagram.com/bancadaativista/,3671,2697,136
RenovaBR,https://www.instagram.com/renovabr/,24707,3769,148
Mídia NINJA,https://www.instagram.com/midianinja/,260334,480,9466
342 Artes,https://www.instagram.com/342artes/,2657,3,105
MST Oficial,https://www.instagram.com/movimentosemterra/,27589,40,424
MLB Brasil,https://www.instagram.com/movimentolutanosbairros/,1006,88,31
União Nacional dos Estudantes,https://www.instagram.com/uneoficial/,35559,3823,1622
CUT Brasil,https://www.instagram.com/cutbrasil/,21420,426,863
Juntos!,https://www.instagram.com/coletivojuntos/,5390,2370,618
Movimento Correnteza,https://www.instagram.com/movimentocorrenteza/,876,539,72
União da Juventude Socialista,https://www.instagram.com/ujs_brasil/,9670,390,965
União da Juventude Rebelião,https://www.instagram.com/ujr_brasil/,996,4,90
Movimento Olga Benario Brasil,https://www.instagram.com/movimentoolga/,1090,377,421
UBES,https://www.instagram.com/ubesoficial/,11468,122,812
RUA Juventude Anticapitalista,https://www.instagram.com/rua_juventudeanticapitalista/,39360,495,325
Afronte! Juventude Sem Medo,https://www.instagram.com/afronte.nacional/,482,270,34
,https://www.instagram.com/contag/,46,0,15
Geledés,https://www.instagram.com/portalgeledes/,32971,210,312
Marcha Mundial das Mulheres,https://www.instagram.com/marchamulheres/,5175,298,388
Não Me Kahlo,https://www.instagram.com/naokahlo/,69879,92,473
Vem Pra Rua Brasil,https://www.instagram.com/vemprarua_br/,93835,590,4672
Revoltados On Line,https://www.instagram.com/revoltadoson/,21,1,0
Estudantes Pela Liberdade,https://www.instagram.com/estudantespelaliberdade/,2321,138,42
MBL - Movimento Brasil Livre,https://www.instagram.com/mblivre/,167550,671,1972
Luta eterna pela corrupção,https://www.instagram.com/movimentocontraacorrupcao/,60,206,3
Luiz Inácio Lula da Silva,https://www.instagram.com/luizinacioluladasilvaoficial/,242115,1,250
Ciro Gomes,https://www.instagram.com/cirogomes/,109844,133,15
Geraldo Alckmin,https://www.instagram.com/geraldoalckmin_/,106464,34,3827
Jair Bolsonaro,https://www.instagram.com/jairmessiasbolsonaro/,1144533,347,1290
Michel Temer,https://www.instagram.com/micheltemer/,96537,104,621
Marina Silva,https://www.instagram.com/_marinasilva_/,94123,68,782
Levy Fidelix,https://www.instagram.com/levyfidelix28/,9637,62,169
Pastor Everaldo Pereira,https://www.instagram.com/pastoreveraldo/,15625,301,1725
robertoljustus,https://www.instagram.com/robertoljustus/,1094898,152,1054
Guilherme Boulos,https://www.instagram.com/guilhermeboulos.oficial/,72856,103,643
Jaques Wagner,https://www.instagram.com/jaqueswagner/,21757,162,598
Fernando Collor,https://www.instagram.com/fernando_collor/,13525,749,1410
Cristovam Buarque,https://www.instagram.com/buarquecristovam/,9806,723,83
