username,Data,stories
ocupa_politica,16/5/2018-22:35,0
agoramovimento,16/5/2018-22:35,8
as_muitas,16/5/2018-22:35,0
bancadaativista,16/5/2018-22:35,0
renovabr,16/5/2018-22:35,2
midianinja,16/5/2018-22:35,3
342artes,16/5/2018-22:35,0
movimentosemterra,16/5/2018-22:35,1
movimentolutanosbairros,16/5/2018-22:36,0
uneoficial,16/5/2018-22:36,7
cutbrasil,16/5/2018-22:36,1
coletivojuntos,16/5/2018-22:36,0
movimentocorrenteza,16/5/2018-22:36,0
ujs_brasil,16/5/2018-22:36,3
ujr_brasil,16/5/2018-22:36,0
movimentoolga,16/5/2018-22:36,0
ubesoficial,16/5/2018-22:36,0
ujcbrasil,16/5/2018-22:36,0
rua_juventudeanticapitalista,16/5/2018-22:36,0
afronte.nacional,16/5/2018-22:36,1
contag,16/5/2018-22:36,0
portalgeledes,16/5/2018-22:36,0
marchamulheres,16/5/2018-22:36,0
naokahlo,16/5/2018-22:36,0
vemprarua_br,16/5/2018-22:36,0
revoltadoson,16/5/2018-22:36,0
estudantespelaliberdade,16/5/2018-22:36,0
mblivre,16/5/2018-22:36,4
movimentocontraacorrupcao,16/5/2018-22:36,0
nasruasbrasil,16/5/2018-22:36,0
luizinacioluladasilvaoficial,16/5/2018-22:36,0
fernandohaddadoficial,16/5/2018-22:36,0
cirogomes,16/5/2018-22:36,1
jdoriajr,16/5/2018-22:36,1
geraldoalckmin_,16/5/2018-22:36,0
jairmessiasbolsonaro,16/5/2018-22:37,2
micheltemer,16/5/2018-22:37,2
_marinasilva_,16/5/2018-22:37,2
levyfidelix28,16/5/2018-22:37,0
pastoreveraldo,16/5/2018-22:37,5
robertoljustus,16/5/2018-22:37,0
guilhermeboulos.oficial,16/5/2018-22:37,18
jaqueswagner,16/5/2018-22:37,0
fernando_collor,16/5/2018-22:37,4
buarquecristovam,16/5/2018-22:37,0
