username;Data;stories
ocupa_politica;4/6/2018-0:6;0
agoramovimento;4/6/2018-0:6;5
as_muitas;4/6/2018-0:6;0
bancadaativista;4/6/2018-0:6;0
renovabr;4/6/2018-0:6;0
midianinja;4/6/2018-0:6;6
342artes;4/6/2018-0:6;0
movimentosemterra;4/6/2018-0:6;0
movimentolutanosbairros;4/6/2018-0:6;2
uneoficial;4/6/2018-0:6;7
cutbrasil;4/6/2018-0:6;0
coletivojuntos;4/6/2018-0:6;1
movimentocorrenteza;4/6/2018-0:6;0
ujs_brasil;4/6/2018-0:6;7
ujr_brasil;4/6/2018-0:6;1
movimentoolga;4/6/2018-0:6;0
ubesoficial;4/6/2018-0:6;1
ujcbrasil;4/6/2018-0:6;0
rua_juventudeanticapitalista;4/6/2018-0:7;0
afronte.nacional;4/6/2018-0:7;7
contag;4/6/2018-0:7;0
portalgeledes;4/6/2018-0:7;0
marchamulheres;4/6/2018-0:7;2
naokahlo;4/6/2018-0:7;11
vemprarua_br;4/6/2018-0:7;0
revoltadoson;4/6/2018-0:7;0
estudantespelaliberdade;4/6/2018-0:7;0
mblivre;4/6/2018-0:7;1
movimentocontraacorrupcao;4/6/2018-0:7;0
nasruasbrasil;4/6/2018-0:7;0
luizinacioluladasilvaoficial;4/6/2018-0:7;0
fernandohaddadoficial;4/6/2018-0:7;0
cirogomes;4/6/2018-0:7;0
jdoriajr;4/6/2018-0:7;0
geraldoalckmin_;4/6/2018-0:7;1
jairmessiasbolsonaro;4/6/2018-0:7;2
micheltemer;4/6/2018-0:7;0
_marinasilva_;4/6/2018-0:7;0
levyfidelix28;4/6/2018-0:7;0
pastoreveraldo;4/6/2018-0:7;0
robertoljustus;4/6/2018-0:7;0
guilhermeboulos.oficial;4/6/2018-0:7;11
jaqueswagner;4/6/2018-0:7;0
fernando_collor;4/6/2018-0:7;0
buarquecristovam;4/6/2018-0:7;4
