username,Data,stories
ocupa_politica,19/5/2018-13:59,0
agoramovimento,19/5/2018-13:59,2
as_muitas,19/5/2018-13:59,0
bancadaativista,19/5/2018-13:59,0
renovabr,19/5/2018-13:59,0
midianinja,19/5/2018-13:59,5
342artes,19/5/2018-13:59,0
movimentosemterra,19/5/2018-13:59,0
movimentolutanosbairros,19/5/2018-13:59,0
uneoficial,19/5/2018-13:59,0
cutbrasil,19/5/2018-13:59,0
coletivojuntos,19/5/2018-13:59,0
movimentocorrenteza,19/5/2018-13:59,0
ujs_brasil,19/5/2018-13:59,2
ujr_brasil,19/5/2018-13:59,0
movimentoolga,19/5/2018-13:59,0
ubesoficial,19/5/2018-13:59,2
ujcbrasil,19/5/2018-13:59,0
rua_juventudeanticapitalista,19/5/2018-13:59,0
afronte.nacional,19/5/2018-13:59,1
contag,19/5/2018-13:59,0
portalgeledes,19/5/2018-13:59,0
marchamulheres,19/5/2018-13:59,0
naokahlo,19/5/2018-13:59,0
vemprarua_br,19/5/2018-13:59,0
revoltadoson,19/5/2018-13:59,0
estudantespelaliberdade,19/5/2018-13:59,0
mblivre,19/5/2018-13:59,7
movimentocontraacorrupcao,19/5/2018-13:59,0
nasruasbrasil,19/5/2018-13:59,0
luizinacioluladasilvaoficial,19/5/2018-13:59,0
fernandohaddadoficial,19/5/2018-13:59,1
cirogomes,19/5/2018-13:59,0
jdoriajr,19/5/2018-14:0,13
geraldoalckmin_,19/5/2018-14:0,1
jairmessiasbolsonaro,19/5/2018-14:0,1
micheltemer,19/5/2018-14:0,0
_marinasilva_,19/5/2018-14:0,8
levyfidelix28,19/5/2018-14:0,1
pastoreveraldo,19/5/2018-14:0,8
robertoljustus,19/5/2018-14:0,1
guilhermeboulos.oficial,19/5/2018-14:0,25
jaqueswagner,19/5/2018-14:0,0
fernando_collor,19/5/2018-14:0,1
buarquecristovam,19/5/2018-14:0,0
