username;Data;stories
ocupa_politica;21/5/2018-23:26;0
agoramovimento;21/5/2018-23:26;1
as_muitas;21/5/2018-23:26;0
bancadaativista;21/5/2018-23:26;0
renovabr;21/5/2018-23:26;2
midianinja;21/5/2018-23:26;0
342artes;21/5/2018-23:26;0
movimentosemterra;21/5/2018-23:26;0
movimentolutanosbairros;21/5/2018-23:26;0
uneoficial;21/5/2018-23:26;16
cutbrasil;21/5/2018-23:26;0
coletivojuntos;21/5/2018-23:26;9
movimentocorrenteza;21/5/2018-23:26;0
ujs_brasil;21/5/2018-23:26;6
ujr_brasil;21/5/2018-23:26;0
movimentoolga;21/5/2018-23:26;0
ubesoficial;21/5/2018-23:26;1
ujcbrasil;21/5/2018-23:26;0
rua_juventudeanticapitalista;21/5/2018-23:26;4
afronte.nacional;21/5/2018-23:26;4
contag;21/5/2018-23:26;0
portalgeledes;21/5/2018-23:27;0
marchamulheres;21/5/2018-23:27;1
naokahlo;21/5/2018-23:27;1
vemprarua_br;21/5/2018-23:27;0
revoltadoson;21/5/2018-23:27;0
estudantespelaliberdade;21/5/2018-23:27;0
mblivre;21/5/2018-23:27;1
movimentocontraacorrupcao;21/5/2018-23:27;0
nasruasbrasil;21/5/2018-23:27;0
luizinacioluladasilvaoficial;21/5/2018-23:27;0
fernandohaddadoficial;21/5/2018-23:27;0
cirogomes;21/5/2018-23:27;2
jdoriajr;21/5/2018-23:27;1
geraldoalckmin_;21/5/2018-23:27;0
jairmessiasbolsonaro;21/5/2018-23:27;1
micheltemer;21/5/2018-23:27;0
_marinasilva_;21/5/2018-23:27;1
levyfidelix28;21/5/2018-23:27;0
pastoreveraldo;21/5/2018-23:27;0
robertoljustus;21/5/2018-23:27;1
guilhermeboulos.oficial;21/5/2018-23:27;12
jaqueswagner;21/5/2018-23:27;0
fernando_collor;21/5/2018-23:27;0
buarquecristovam;21/5/2018-23:27;0
